0.000000 	 85.000000 	 
0.005000 	 85.024971 	 0.000033 	 
0.010000 	 85.049835 	 0.000087 	 
0.015000 	 85.074600 	 0.000161 	 
0.020000 	 85.099258 	 0.000255 	 
0.025000 	 85.123810 	 0.000368 	 
0.030000 	 85.148262 	 0.000502 	 
0.035000 	 85.172607 	 0.000654 	 
0.040000 	 85.196846 	 0.000826 	 
0.045000 	 85.220985 	 0.001017 	 
0.050000 	 85.245018 	 0.001227 	 
0.055000 	 85.268944 	 0.001456 	 
0.060000 	 85.292770 	 0.001702 	 
0.065000 	 85.316490 	 0.001968 	 
0.070000 	 85.340111 	 0.002251 	 
0.075000 	 85.363625 	 0.002552 	 
0.080000 	 85.387039 	 0.002872 	 
0.085000 	 85.410347 	 0.003208 	 
0.090000 	 85.433556 	 0.003562 	 
0.095000 	 85.456657 	 0.003933 	 
0.100000 	 85.479660 	 0.004322 	 
0.105000 	 85.502556 	 0.004727 	 
0.110000 	 85.525352 	 0.005149 	 
0.115000 	 85.548050 	 0.005587 	 
0.120000 	 85.570641 	 0.006042 	 
0.125000 	 85.593132 	 0.006513 	 
0.130000 	 85.615524 	 0.007001 	 
0.135000 	 85.637810 	 0.007504 	 
0.140000 	 85.659996 	 0.008022 	 
0.145000 	 85.682083 	 0.008557 	 
0.150000 	 85.704071 	 0.009107 	 
0.155000 	 85.725952 	 0.009672 	 
0.160000 	 85.747734 	 0.010252 	 
0.165000 	 85.769417 	 0.010847 	 
0.170000 	 85.791000 	 0.011457 	 
0.175000 	 85.812485 	 0.012082 	 
0.180000 	 85.833870 	 0.012721 	 
0.185000 	 85.855156 	 0.013375 	 
0.190000 	 85.876343 	 0.014043 	 
0.195000 	 85.897430 	 0.014725 	 
0.200000 	 85.918419 	 0.015421 	 
0.205000 	 85.939308 	 0.016130 	 
0.210000 	 85.960098 	 0.016854 	 
0.215000 	 85.980789 	 0.017591 	 
0.220000 	 86.001381 	 0.018341 	 
0.225000 	 86.021873 	 0.019105 	 
0.230000 	 86.042267 	 0.019882 	 
0.235000 	 86.062561 	 0.020672 	 
0.240000 	 86.082756 	 0.021475 	 
0.245000 	 86.102859 	 0.022290 	 
0.250000 	 86.122864 	 0.023118 	 
0.255000 	 86.142769 	 0.023959 	 
0.260000 	 86.162582 	 0.024812 	 
0.265000 	 86.182297 	 0.025677 	 
0.270000 	 86.201912 	 0.026555 	 
0.275000 	 86.221436 	 0.027444 	 
0.280000 	 86.240860 	 0.028346 	 
0.285000 	 86.260193 	 0.029259 	 
0.290000 	 86.279427 	 0.030184 	 
0.295000 	 86.298569 	 0.031120 	 
0.300000 	 86.317612 	 0.032068 	 
0.305000 	 86.336563 	 0.033027 	 
0.310000 	 86.355415 	 0.033997 	 
0.315000 	 86.374176 	 0.034979 	 
0.320000 	 86.392845 	 0.035971 	 
0.325000 	 86.411415 	 0.036975 	 
0.330000 	 86.429893 	 0.037989 	 
0.335000 	 86.448280 	 0.039013 	 
0.340000 	 86.466568 	 0.040049 	 
0.345000 	 86.484764 	 0.041094 	 
0.350000 	 86.502869 	 0.042151 	 
0.355000 	 86.520882 	 0.043217 	 
0.360000 	 86.538803 	 0.044293 	 
0.365000 	 86.556633 	 0.045380 	 
0.370000 	 86.574371 	 0.046476 	 
0.375000 	 86.592018 	 0.047583 	 
0.380000 	 86.609573 	 0.048699 	 
0.385000 	 86.627037 	 0.049824 	 
0.390000 	 86.644409 	 0.050959 	 
0.395000 	 86.661690 	 0.052104 	 
0.400000 	 86.678879 	 0.053258 	 
